Location ID,Location,Value,Rank,Anomaly (1981-2010 base period),1981-2010 Mean
USW00024012,"Dickinson, North Dakota",43.3,51,0.6,42.7
USW00014914,"Fargo, North Dakota",41.8,51,-0.6,42.4
USW00014916,"Grand Forks, North Dakota",40,47,0.2,39.8
USW00024013,"Minot, North Dakota",43,48,0.2,42.8
USW00094014,"Williston, North Dakota",-99,-99,-99,-99
USW00014895,"Akron, Ohio",53.2,66,2.7,50.5
USW00093814,"Cincinnati, Ohio",55.9,67,2,53.9
USW00014820,"Cleveland, Ohio",53,71,1.3,51.7
USW00014821,"Columbus, Ohio",54.5,65,1.9,52.6
USW00094830,"Toledo, Ohio",52.9,56,1.4,51.5
USW00013967,"Oklahoma City, Oklahoma",59.9,49,0.2,59.7
USW00013968,"Tulsa, Oklahoma",61.2,58,0.5,60.7
USH00350328,"Astoria, Oregon",51.3,94,0.2,51.1
USW00024221,"Eugene, Oregon",53.7,65,0.4,53.3
USW00024225,"Medford, Oregon",56.7,85,1.3,55.4
USW00024155,"Pendleton, Oregon",53.3,88,1.7,51.6
USW00024229,"Portland, Oregon",55.4,74,1.1,54.3
USW00024232,"Salem, Oregon",54.5,101,0.6,53.9
USH00360106,"Allentown, Pennsylvania",54.5,89,2.6,51.9
USW00014860,"Erie, Pennsylvania",52.5,88,2.3,50.2
USW00014751,"Harrisburg, Pennsylvania",56.9,68,2.3,54.6
USW00013739,"Philadelphia, Pennsylvania",57.4,68,2.3,55.1
USW00094823,"Pittsburgh, Pennsylvania",52.9,65,1.8,51.1
USW00014777,"Scranton, Pennsylvania",52.2,63,1.9,50.3
USW00014778,"Williamsport, Pennsylvania",52.7,65,2.1,50.6
USW00014765,"Providence, Rhode Island",53.3,67,2.3,51
USW00013880,"Charleston, South Carolina",67.7,80,1.8,65.9
USW00013883,"Columbia, South Carolina",66.4,64,1.5,64.9
USH00383747,"Greenville, South Carolina",62,89,0.8,61.2
USH00390020,"Aberdeen, South Dakota",44.6,87,0.6,44
USW00024025,"Pierre, South Dakota",47.2,55,0,47.2
USW00024090,"Rapid City, South Dakota",46.5,35,-0.7,47.2
USW00014944,"Sioux Falls, South Dakota",47.3,66,0.7,46.6
USW00013882,"Chattanooga, Tennessee",63.6,80,2.1,61.5
USW00003811,"Jackson, Tennessee",60.2,53,0.6,59.6
USW00013877,"Johnson City, Tennessee",58,76,1.9,56.1
USW00013891,"Knoxville, Tennessee",60.9,103,1.9,59
USW00013893,"Memphis, Tennessee",63.2,67,1.2,62
USW00013897,"Nashville, Tennessee",61.8,64,1.7,60.1
USW00013962,"Abilene, Texas",65.7,52,0.7,65
USW00023047,"Amarillo, Texas",58.8,61,0.9,57.9
USW00013958,"Austin, Texas",70.6,71,1.2,69.4
USW00012919,"Brownsville, Texas",76.7,73,1.1,75.6
USH00412015,"Corpus Christi, Texas",73.4,119,2.5,70.9
USW00013960,"Dallas, Texas",68.1,65,0.7,67.4
USW00022010,"Del Rio, Texas",72,56,1.4,70.6
USH00412797,"El Paso, Texas",67.9,121,2,65.9
USW00012918,"Houston, Texas",72.8,79,2.7,70.1
USW00023042,"Lubbock, Texas",62.2,66,1.8,60.4
USW00023023,"Midland, Texas",66.5,78,1.5,65
USH00417945,"San Antonio, Texas",71.2,122,2.1,69.1
USW00013966,"Wichita Falls, Texas",63.5,63,0.4,63.1
USW00093129,"Cedar City, Utah",50.8,66,1.4,49.4
USW00024127,"Salt Lake City, Utah",55.1,61,1.4,53.7
USH00431081,"Burlington, Vermont",48.5,113,2,46.5
USW00094705,"Montpelier, Vermont",43.8,58,1.6,42.2
USH00446139,"Norfolk, Virginia",63.6,107,2.6,61
USW00013740,"Richmond, Virginia",60.4,71,1.9,58.5
