City,Metro,County,State,Population Rank,Average Rental Cost
Fairfax,Washington,Fairfax,VA,179,2391.09
Santa Clarita,Los Angeles,Los Angeles,CA,180,2303.78
Pomona,Los Angeles,Los Angeles,CA,181,1789.47
Lafayette,Lafayette,Lafayette,LA,182,1341.18
Kansas City,Kansas City,Wyandotte,KS,183,770.99
Boynton Beach,Miami-Fort Lauderdale,Palm Beach,FL,184,1648.27
Syracuse,Syracuse,Onondaga,NY,185,996.65
Salem,Salem,Marion,OR,186,1177.88
Hollywood,Miami-Fort Lauderdale,Broward,FL,187,1613.03
Paterson,New York,Passaic,NJ,188,1501.68
Lakewood,Denver,Jefferson,CO,189,1595.89
Alexandria,Washington,Alexandria City,VA,190,2337.27
Dayton,Dayton,Montgomery,OH,191,663.41
Yuma,Yuma,Yuma,AZ,192,976.51
Sunnyvale,San Jose,Santa Clara,CA,193,3180.59
Visalia,Visalia,Tulare,CA,194,1219.41
Las Cruces,Las Cruces,Dona Ana,NM,195,994.58
Charleston,Charleston,Charleston,SC,196,1520.19
Beaumont,Beaumont,Jefferson,TX,197,1010.54
Pasadena,Houston,Harris,TX,198,1184.35
Bridgeport,Stamford,Fairfield,CT,199,1521.53
Eugene,Eugene,Lane,OR,200,1205.16
Escondido,San Diego,San Diego,CA,201,2015.72
Newark,Philadelphia,New Castle,DE,202,1400
Sugar Land,Houston,Fort Bend,TX,203,2039.35
Round Rock,Austin,Williamson,TX,204,1515.86
Hampton,Virginia Beach,Hampton City,VA,205,1181.88
Pasadena,Los Angeles,Los Angeles,CA,206,2388.05
Torrance,Los Angeles,Los Angeles,CA,207,2633.41
Columbia,Columbia,Richland,SC,208,1017.07
Tyler,Tyler,Smith,TX,209,1138.12
Mesquite,Dallas-Fort Worth,Dallas,TX,210,1194.43
Fullerton,Los Angeles,Orange,CA,211,2407.91
Warren,Detroit,Macomb,MI,212,1075.49
McKinney,Dallas-Fort Worth,Collin,TX,213,1689.28
West Valley City,Salt Lake City,Salt Lake,UT,214,1242.39
Renton,Seattle,King,WA,215,1761.07
Canton,Canton,Stark,OH,216,782.8
Metairie,New Orleans,Jefferson,LA,217,1430.91
Santa Maria,Santa Maria-Santa Barbara,Santa Barbara,CA,218,1621.91
Edinburg,McAllen,Hidalgo,TX,219,1048.68
Inglewood,Los Angeles,Los Angeles,CA,220,1995.14
Orange,Los Angeles,Orange,CA,221,2545.07
New Haven,New Haven,New Haven,CT,222,1326.73
Cumming,Atlanta,Forsyth,GA,223,1602.42
Flint,Flint,Genesee,MI,224,550.44
Abilene,Abilene,Taylor,TX,225,957.95
Compton,Los Angeles,Los Angeles,CA,226,1763.31
McAllen,McAllen,Hidalgo,TX,227,1150.45
Bellevue,Seattle,King,WA,228,2298.47
Saginaw,Saginaw,Saginaw,MI,229,686.05
Bloomington,Bloomington,Monroe,IN,230,1189.76
Olathe,Kansas City,Johnson,KS,231,1524.91
Miramar,Miami-Fort Lauderdale,Broward,FL,232,1758.01
Queen Creek,Phoenix,Maricopa,AZ,233,1087.36
Coral Springs,Miami-Fort Lauderdale,Broward,FL,234,1905.99
East Los Angeles,Los Angeles,Los Angeles,CA,235,1739.05
Hamilton,Cincinnati,Butler,OH,236,1115.04
Hartford,Hartford,Hartford,CT,237,1121.88
Stamford,Stamford,Fairfield,CT,238,2491.22
Savannah,Savannah,Chatham,GA,239,1044.73
Simi Valley,Ventura,Ventura,CA,240,2412.39
Concord,San Francisco,Contra Costa,CA,241,2114.89
Sterling Heights,Detroit,Macomb,MI,242,1362.99
Elizabeth,New York,Union,NJ,243,1565.97
Frisco,Dallas-Fort Worth,Collin,TX,244,2144.05
Joliet,Chicago,Will,IL,245,1336.82
Carrollton,Dallas-Fort Worth,Denton,TX,246,1567
Billings,Billings,Yellowstone,MT,247,1116.99
Allentown,Allentown,Lehigh,PA,248,1103.07
Amherst,Buffalo,Erie,NY,249,1571.73
Santa Fe,Santa Fe,Santa Fe,NM,250,1628.88
Vallejo,Vallejo,Solano,CA,251,1594.57
Independence,Kansas City,Jackson,MO,252,846.7
Santa Clara,San Jose,Santa Clara,CA,253,2860
Cary,Raleigh,Wake,NC,254,1581.96
Cypress,Houston,Harris,TX,255,1676.2
Conroe,Houston,Montgomery,TX,256,1471.74
Surprise,Phoenix,Maricopa,AZ,257,1196.19
Berkeley,San Francisco,Alameda,CA,258,2709.34
Hemet,Riverside,Riverside,CA,259,1294
Norman,Oklahoma City,Cleveland,OK,260,1163.43
Falls Church,Washington,Fairfax,VA,261,2293.89
Denton,Dallas-Fort Worth,Denton,TX,262,1400.81
